"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"CU 003 - News","Show all news","Show a random news in the Home","0","1","0","0","0"
"CU 003 - News","Show all news","Show a random news","0","0","1","0","0"
