"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 14:29:51 CST 2019","Wed Jul 24 14:30:57 CST 2019","66811","","com.aut.demo.tigoShop.specs.CU_002_Show_Balances","","com.aut.demo.tigoShop.specs.CU_002_Show_Balances","showBalances02","showBalances02()","Show the information available in the shopping tab"
"passed","Wed Jul 24 17:17:58 CST 2019","Wed Jul 24 17:19:45 CST 2019","107068","","com.aut.demo.tigoShop.specs.CU_003_Show_Shopping_Offers","","com.aut.demo.tigoShop.specs.CU_003_Show_Shopping_Offers","showShoppingOffers01","showShoppingOffers01()","Show offers and promotions for calls, messages and internet"
"passed","Wed Jul 24 14:27:37 CST 2019","Wed Jul 24 14:29:50 CST 2019","133388","","com.aut.demo.tigoShop.specs.CU_002_Show_Balances","","com.aut.demo.tigoShop.specs.CU_002_Show_Balances","showBalances01","showBalances01()","Show all balance information"
"passed","Wed Jul 24 17:12:30 CST 2019","Wed Jul 24 17:13:26 CST 2019","55642","","com.aut.demo.tigoShop.specs.CU_001_Login_Page","","com.aut.demo.tigoShop.specs.CU_001_Login_Page","inPage","inPage()","Just enter the app"
